Restaurant Name,Rating,Reviews,Cuisine,Address,City,Restaurant URL,Image URL
Onegolf Brewery,4.4,5229.0,"South Indian, Asian, Continental","Sy.No.237 & 251, Vattinagulapally, Narsingi, Gandipet, Hyderabad",Hyderabad,/hyderabad/onegolf-brewery-gandipet/info,https://b.zmtcdn.com/data/pictures/8/20037678/dfc14b95d5cbb01be2bb7634a49c969d_o2_featured_v2.jpg
Thyme & Whisk,4.2,926.0,"Chinese, Italian, Asian","Shop 3 & 4, House 8-2-293/82/A/245, 1st Floor, Apurupa, Road 36, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/thyme-whisk-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/6/20639146/af5ac78f6af68446e2c0313d56c18e8c_featured_v2.jpg
Forge Breu - Hous,4.3,5561.0,"Finger Food, Continental, North Indian","775/I, Plot Road 45, Cbi Colony, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/forge-breu-hous-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/2/19878202/20b09fd372a8067353513cba216d2e47_featured_v2.jpg
Naatu Kitchen And Bar,4.3,9016.0,"Biryani, North Indian, South Indian","8-2-293/82, Plot 1217 A, Pillar No. 1632, 1633, Jawahar Colony, Road 36, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/naatu-kitchen-and-bar-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/4/20514854/603b36523f979f109f04ac5caa8faf2a_featured_v2.jpg
Sahib's Barbeque By Ohri's,3.9,19.0,"North Indian, Awadhi, Hyderabadi","Plot 4/1 - 4/2, 64, Ohris Cyber Grub, Huda Techno Enclave, Opposite Mind Space Centre, Madhapur, Hyderabad",Hyderabad,/hyderabad/sahibs-barbeque-by-ohris-madhapur/info,https://b.zmtcdn.com/data/pictures/4/18312984/ddcdff8891dbf6d3bab1634b50b0bf1e_o2_featured_v2.jpg
By The Bottle,3.9,2970.0,"Continental, Chinese, North Indian","1217/A, Road 36, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/by-the-bottle-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/8/18581678/f1256261a99d22a54bb4f42acf6df047_featured_v2.jpg
Anthm,4.1,4901.0,"Continental, North Indian, Asian","252/7, Financial District, Nanakramguda, Hyderabad",Hyderabad,/hyderabad/anthm-nanakramguda/info,https://b.zmtcdn.com/data/pictures/7/20927307/77ee7815ebde07673746165ab55257ec_featured_v2.jpg
45th Avenue,4.4,4942.0,"Cafe, Coffee, Burger","8-2-293/82/A/1355-H/G, Road 1, Niharika Jubilee One Building, Circle 10, Khairatabad, Film Nagar, Hyderabad",Hyderabad,/hyderabad/45th-avenue-film-nagar/info,https://b.zmtcdn.com/data/pictures/6/19684456/f7d15a66c08652da8f2e9d253a9ee9e8_featured_v2.jpg
Amnesia Sky Bar,4.1,3537.0,"Finger Food, Italian, Sushi","103, 104, 5th Floor, Inorbit Mall, Mind Space Road, Software Units Layout, Madhapur, Hitech City, Hyderabad",Hyderabad,/hyderabad/amnesia-sky-bar-hitech-city/info,https://b.zmtcdn.com/data/pictures/9/19183269/be49e489296f77cbb4289f029ef7e69b_featured_v2.jpg
Jamun,4.2,1819.0,"Goan, North Indian, South Indian","Road Number 10, beside PMJ Jewels Flagship Store, Jawahar Colony, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/jamun-1-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/9/21320229/3170a223ba7c6f1b7dc63890d09d6aa0_featured_v2.jpg
